role,skill,minimum_proficiency
Engineering Manager,Leadership,4
Engineering Manager,Communication,4
Engineering Manager,Project Management,3
Engineering Manager,Node.js,3
Backend Engineer,Node.js,4
Backend Engineer,API Design,3
Backend Engineer,SQL & Data Modeling,3
Backend Engineer,TypeScript,3
Backend Engineer,Test Automation,3
Frontend Engineer,React,4
Frontend Engineer,TypeScript,3
Frontend Engineer,Accessibility,3
Frontend Engineer,UX Research,2
Frontend Engineer,Test Automation,2
QA Engineer,Test Automation,4
QA Engineer,TypeScript,3
QA Engineer,Communication,3
Technical Writer,Communication,4
Technical Writer,API Design,2
Technical Writer,Project Management,2
DevOps Engineer,DevOps,4
DevOps Engineer,Kubernetes,3
DevOps Engineer,Cloud Architecture,3
DevOps Engineer,Incident Response,3
Cloud Engineer,Cloud Architecture,4
Cloud Engineer,DevOps,3
Cloud Engineer,Cybersecurity,2
Site Reliability Engineer,Incident Response,4
Site Reliability Engineer,Kubernetes,4
Site Reliability Engineer,DevOps,3
Site Reliability Engineer,Cloud Architecture,3
Solutions Architect,Cloud Architecture,4
Solutions Architect,API Design,4
Solutions Architect,Communication,4
Security Analyst,Cybersecurity,4
Security Analyst,Incident Response,3
Security Analyst,Cloud Architecture,2
Data Analyst,Data Analysis,4
Data Analyst,SQL & Data Modeling,3
Data Analyst,Python,2
Data Analyst,Communication,3
Data Scientist,Machine Learning,4
Data Scientist,Python,4
Data Scientist,Data Analysis,3
AI Specialist,Machine Learning,4
AI Specialist,Python,4
AI Specialist,AI Governance,3
Product Manager,Project Management,4
Product Manager,Communication,4
Product Manager,UX Research,3
Product Manager,Leadership,3
UX Designer,UX Research,4
UX Designer,Accessibility,3
UX Designer,Communication,3
Program Manager,Project Management,4
Program Manager,Leadership,4
Program Manager,Communication,4
Business Analyst,Data Analysis,3
Business Analyst,SQL & Data Modeling,2
Business Analyst,Communication,4
Compliance Analyst,Payments Compliance,4
Compliance Analyst,Communication,3
Compliance Analyst,Data Analysis,2
Billing Operations Specialist,Payments Compliance,2
Billing Operations Specialist,Data Analysis,2
Billing Operations Specialist,Communication,3
Support Engineer,Communication,4
Support Engineer,Incident Response,2
Support Engineer,SQL & Data Modeling,2
People Partner,Leadership,3
People Partner,Communication,4
Director of Engineering,Leadership,4
Director of Engineering,Communication,4
Director of Engineering,Stakeholder Management,4
Director of Engineering,Agile Delivery,3
Director of Engineering,API Design,3
Head of Platform,Leadership,4
Head of Platform,Communication,4
Head of Platform,Cloud Architecture,4
Head of Platform,Incident Response,3
Head of Data,Leadership,4
Head of Data,Communication,4
Head of Data,Data Engineering,3
Head of Data,Statistics,3
Head of Product,Leadership,4
Head of Product,Communication,4
Head of Product,Stakeholder Management,4
Head of Product,Project Management,3
Design Lead,Leadership,3
Design Lead,Communication,4
Design Lead,Design Systems,4
Design Lead,UX Research,3
Head of Security,Leadership,4
Head of Security,Communication,4
Head of Security,Threat Modelling,4
Head of Security,Identity & Access Management,3
Head of Finance,Leadership,4
Head of Finance,Communication,4
Head of Finance,Financial Modelling,4
Head of Finance,Revenue Recognition,3
Head of Compliance,Leadership,4
Head of Compliance,Communication,4
Head of Compliance,Data Privacy (GDPR),4
Head of Compliance,Vendor Risk Management,3
Head of Operations,Leadership,4
Head of Operations,Communication,4
Head of Operations,Change Management,4
Head of Operations,Procurement,3
Head of Customer Success,Leadership,4
Head of Customer Success,Communication,4
Head of Customer Success,Account Management,4
