role,criticality,source
Engineering Manager,4,Fictional demo dataset
Backend Engineer,4,Fictional demo dataset
Frontend Engineer,3,Fictional demo dataset
QA Engineer,3,Fictional demo dataset
Technical Writer,2,Fictional demo dataset
DevOps Engineer,4,Fictional demo dataset
Cloud Engineer,4,Fictional demo dataset
Site Reliability Engineer,4,Fictional demo dataset
Solutions Architect,4,Fictional demo dataset
Security Analyst,5,Fictional demo dataset
Data Analyst,3,Fictional demo dataset
Data Scientist,3,Fictional demo dataset
AI Specialist,3,Fictional demo dataset
Product Manager,3,Fictional demo dataset
UX Designer,3,Fictional demo dataset
Program Manager,3,Fictional demo dataset
Business Analyst,2,Fictional demo dataset
Compliance Analyst,5,Fictional demo dataset
Billing Operations Specialist,4,Fictional demo dataset
Support Engineer,3,Fictional demo dataset
People Partner,2,Fictional demo dataset
