name,criticality,target_proficiency,required_holders,demand_target,source
React,3,3,4,,Fictional demo dataset
TypeScript,3,3,3,,Fictional demo dataset
Node.js,4,3,6,,Fictional demo dataset
API Design,4,3,4,,Fictional demo dataset
SQL & Data Modeling,4,3,5,,Fictional demo dataset
Python,3,3,5,,Fictional demo dataset
Data Analysis,3,3,3,9,Fictional demo dataset
Machine Learning,3,3,3,7,Fictional demo dataset
AI Governance,4,3,2,6,Fictional demo dataset
DevOps,4,3,4,,Fictional demo dataset
Kubernetes,4,3,4,,Fictional demo dataset
Cloud Architecture,4,3,7,10,Fictional demo dataset
Cybersecurity,5,4,2,5,Fictional demo dataset
Incident Response,4,3,5,,Fictional demo dataset
Test Automation,3,3,3,8,Fictional demo dataset
UX Research,2,3,2,,Fictional demo dataset
Accessibility,3,3,3,,Fictional demo dataset
Project Management,3,3,3,,Fictional demo dataset
Communication,2,3,5,,Fictional demo dataset
Leadership,3,3,4,8,Fictional demo dataset
Payments Compliance,5,4,2,,Fictional demo dataset
Legacy Billing Recovery,5,3,2,,Fictional demo dataset
Go,3,3,3,,Fictional enterprise dataset (generated)
Java,3,3,4,,Fictional enterprise dataset (generated)
Rust,3,3,2,,Fictional enterprise dataset (generated)
Swift & iOS,3,3,2,,Fictional enterprise dataset (generated)
Kotlin & Android,3,3,2,,Fictional enterprise dataset (generated)
GraphQL,2,3,3,,Fictional enterprise dataset (generated)
PostgreSQL,4,3,5,,Fictional enterprise dataset (generated)
Data Engineering,4,3,4,,Fictional enterprise dataset (generated)
Analytics Engineering (dbt),3,3,3,,Fictional enterprise dataset (generated)
Apache Spark,3,3,2,,Fictional enterprise dataset (generated)
Statistics,3,3,3,,Fictional enterprise dataset (generated)
Experimentation & A/B Testing,3,3,3,,Fictional enterprise dataset (generated)
MLOps,4,3,3,,Fictional enterprise dataset (generated)
Prompt Engineering,2,3,3,,Fictional enterprise dataset (generated)
Observability,4,3,4,,Fictional enterprise dataset (generated)
Terraform,4,3,4,,Fictional enterprise dataset (generated)
AWS,4,3,5,,Fictional enterprise dataset (generated)
Azure,3,3,3,,Fictional enterprise dataset (generated)
Networking,3,3,3,,Fictional enterprise dataset (generated)
Identity & Access Management,5,3,3,,Fictional enterprise dataset (generated)
Threat Modelling,4,3,2,,Fictional enterprise dataset (generated)
Penetration Testing,4,4,2,,Fictional enterprise dataset (generated)
Vendor Risk Management,4,3,2,,Fictional enterprise dataset (generated)
Financial Modelling,4,3,3,,Fictional enterprise dataset (generated)
Revenue Recognition,5,4,2,,Fictional enterprise dataset (generated)
Payroll Administration,5,3,2,,Fictional enterprise dataset (generated)
Procurement,3,3,2,,Fictional enterprise dataset (generated)
Contract Negotiation,3,3,3,,Fictional enterprise dataset (generated)
Data Privacy (GDPR),5,3,3,,Fictional enterprise dataset (generated)
Customer Onboarding,3,3,5,,Fictional enterprise dataset (generated)
Account Management,3,3,6,,Fictional enterprise dataset (generated)
Solution Selling,3,3,5,,Fictional enterprise dataset (generated)
Content Marketing,2,3,3,,Fictional enterprise dataset (generated)
SEO & Web Analytics,2,3,2,,Fictional enterprise dataset (generated)
Brand Design,2,3,2,,Fictional enterprise dataset (generated)
Design Systems,3,3,3,,Fictional enterprise dataset (generated)
Figma,2,3,4,,Fictional enterprise dataset (generated)
Technical Recruiting,3,3,2,,Fictional enterprise dataset (generated)
Coaching & Mentoring,3,3,6,,Fictional enterprise dataset (generated)
Change Management,3,3,3,,Fictional enterprise dataset (generated)
Agile Delivery,3,3,8,,Fictional enterprise dataset (generated)
Stakeholder Management,3,3,6,,Fictional enterprise dataset (generated)
Data Visualization,3,3,4,,Fictional enterprise dataset (generated)
Salesforce Administration,4,3,2,,Fictional enterprise dataset (generated)
ERP Administration,4,3,2,,Fictional enterprise dataset (generated)
Public Speaking,1,3,3,,Fictional enterprise dataset (generated)
