slug,title,kind,skills,verified,url,provenance,provider
cert-billing-recovery,Billing Recovery Practitioner Assessment,certification,Legacy Billing Recovery,true,,Fictional demo dataset,Finance Operations Academy (internal)
cert-cloud-foundations,Cloud Foundations Certificate,certification,Cloud Architecture;DevOps,true,,Fictional demo dataset,Platform Guild (internal)
cert-security-analyst,Security Analyst Credential,certification,Cybersecurity,true,,Fictional demo dataset,Security Office (internal)
cert-ai-governance,Responsible AI Oversight Certificate,certification,AI Governance,true,,Fictional demo dataset,
cert-payments-compliance,Payments Compliance Practitioner Assessment,certification,Payments Compliance,true,,Fictional demo dataset,
train-billing-internal,Billing Platform Internals Walkthrough,training,Legacy Billing Recovery,true,,Fictional demo dataset,Finance Operations Academy (internal)
train-data-analysis,Applied Data Analysis Workshop,training,Data Analysis;Machine Learning,true,,Fictional demo dataset,Data & AI Chapter (internal)
train-secure-coding,Secure Coding Clinic,training,Cybersecurity;Test Automation,true,,Fictional demo dataset,Security Office (internal)
train-kubernetes-operations,Kubernetes Operations Bootcamp,training,Kubernetes;DevOps,true,,Fictional demo dataset,Platform Guild (internal)
train-accessible-interfaces,Accessible Interface Design Lab,training,Accessibility;React;UX Research,true,,Fictional demo dataset,Design Studio (internal)
train-ml-foundations,Machine Learning Foundations Course,training,Machine Learning;Python,true,,Fictional demo dataset,Data & AI Chapter (internal)
doc-incident-runbooks,Incident Response Runbook Library,documentation,Incident Response,true,,Fictional demo dataset,Site Reliability team (internal)
proj-billing-shadow,Supervised Billing Remediation Project,project_experience,Legacy Billing Recovery,true,,Fictional demo dataset,Finance Operations Academy (internal)
proj-api-design-guild,API Design Guild Project,project_experience,API Design;Node.js;TypeScript,true,,Fictional demo dataset,API Design Guild (internal)
rot-platform-team,Platform Team Rotation,job_rotation,Cloud Architecture;DevOps;Test Automation,true,,Fictional demo dataset,Platform Guild (internal)
rot-data-platform,Data Platform Rotation,job_rotation,SQL & Data Modeling;Python;Data Analysis,true,,Fictional demo dataset,Data & AI Chapter (internal)
